-----------------
Loop: 1
[V, , , , ,G, , ,C, ,C,C,I,G, , ,G, ,I,C, ,W,C,E,E,C,I,C,W, ,C,W,C, ,G,E, , ,W, ,W,E,C,I,G,I,W,I, , , ,W, , ,C, ,E,W,C,W,C,G, , ,C, ,W,I,E, ,C, ,C, ,G, ,C, , , , ,E, , ,G, , ,E, , , , ,G,E,E,I, ,G, , ] | _,_,A,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,W,W, ,W, ,I,G,G, , ,W, ,W,W,C,C, , , ,C,I,W,W, ,G,C,I, ,I,W,E,C,G,I,E, , ,C,E,G,G, , ,I, , ,G, ,W, , , ,W, , ,E,E, , , ,C, ,C,I, ,I, , ,G, ,W,I,I,W,C,G,E,E,C,E, ,W,W,I,W,E,W,W, ,I, , ,W, , ,I,I,I,G] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,I,C, , , ,E,E,E,G,G, ,E, , ,C,E, ,E,E, ,G, ,C,W,C, , ,C,E, , ,C,G, , ,E, ,E, ,E,I,G,E,I,W,C,C, , ,E,E, , ,W,E,G, , ,E,W,E, ,W,G,W,G, ,C,I,E, ,G,I, ,C,C,E,E, ,C,C,G,G,G, , , ,E,W,E,E,E,W, ,G,E, ,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , , ,W,W, ,G, ,C, , ,E,C, ,I,C, ,C,E,C, , ,C,I,C, ,W,C, ,I, , , , , ,G, , , ,G, ,E, , , , ,E,I,E, ,C, ,C,W, ,I,G,E, ,G,G,C,E, ,I,C,E, , ,C,G,W, ,C,I, , , ,E, , ,I, ,I,C, ,C,E,E,E,W, , ,E, ,C,I,I, ,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,W,C,E,I,C, , ,G,G,W,E,E, ,E,W,E,I, ,E, ,E,W,I,W,I, ,E, , ,E, ,W,C,G,W,E, ,I, ,C,W, , , ,C,W, , , , , , ,I, ,G,G,E,G,E, ,E,W,G,W, , , ,E, , , , ,C, , , , ,E,G,E,I,C, ,E, ,W,W,I, ,E, ,G, , ,C,C,W,E,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G, , ,E, , ,E, , , ,G,E,I,C, , , ,C, ,E,I,C, , ,C, , ,G, , , ,W,W,E,I, , , ,G,G, ,W, , ,I,E,E,G,I, ,I,I, ,I,W,C, , ,E,I,W, ,C,G, ,E, ,E,C,E,W, ,I, , ,I,I, ,E,I,E,E, , , , , , ,W,C, ,I,W,W,G, ,E, ,W,W] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E,G, , ,E,C,W, , ,E,W,G,G,G,C,G,I,G,E,C,E,C, ,W,E,W, ,W,E,E, ,E, , ,W,E,C, ,I, ,I,C,E,E, ,E,I,C, ,I,W, ,E, , , , ,E,E,E, ,C,E, ,I, ,W,E, , ,E,W, ,G, ,E, ,E,G,E,I,G,G,W,G,E, , ,C, , , , , ,C,E, ,C,W,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , , , ,G,E,W, , , , , ,E,E, , ,G, ,C,W, ,E,C,C,C,E, , ,E,G, , ,W,C,I, , ,C, ,C, ,W,W, , ,E,E,G,C,I,E,W,I,G, ,E, ,W, ,I, , , ,I,E,I, , ,I,C, ,E,E,G,W,W, , ,C,E, ,G,E, ,G,C, ,W, ,C, ,E,E,E, ,E, ,G, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G,G, , , ,W, ,G, , ,E,W,G,W, , ,I, ,I,W,W, , , ,E, ,I,G, , , ,W,E,E,W,C,I, , , ,G,I, ,W, , ,C, , ,G, , ,E,C, ,I, , , ,E, ,I, ,E,I, , ,E,W,E,G,W, ,E, , , ,C,G,E, ,I,W, , ,I, ,C,E,W,I,G, , ,C,C, ,E,E,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G, ,I, ,W,G, ,C,W,E,W,I,I, ,C,W, ,W, ,W,C, ,G,G,C,W, ,C, , ,E, ,W, , , ,E,E, ,W, , ,E,G,W,I,C,W, , , , ,E, ,W,E, ,I,E,E, , , ,E, ,C,I,I,W, ,E, , , ,W,C,G,W, ,G,W, ,W, , , ,G,C,C,G, ,G,C, ,E,E, ,C,G, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,E, , ,W,E,W,E,C, ,W,E,C, , ,C, , , ,G, , , ,I,G,W, , , , , ,E,C,E,W, ,G,I, ,I, ,W, , ,W,C,W, , , ,W,C,E,W,W, ,C, ,C, ,E,C,E,E, , , , ,W,C, ,E,C, ,E,G, , ,W,I, , ,W,G, ,I,W,I,G,W, ,C, ,E, , , ,E, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,I,W, ,I,E, , , ,E, ,C,G, ,C,G, , ,C, ,W,E, ,W,C, ,G, ,G,I,W,G,W,E,I,G,I,W,E,G,E,C,W,G, ,G,W,W, ,G, ,I,G,E, , ,W,G,W, ,G,W,W,I,E,W,G, , ,I, , , , ,G, ,G,E,C,W,C,I,E, ,I,E,I, ,E,I,G, ,W, , ,C,W, , , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[C,C, , , ,W,C,C,C,I,C, ,I, ,I,W,W, ,W, , ,I,E, ,W,E,I, , , , ,C,I, ,G, , , ,W,G,E,W,G, , , ,E, , ,E,E, , ,I,W, , ,G, ,C, , ,G, , ,E, ,C,G,E, ,G,E,C,C, ,W,I, , ,E,I,E,I,E, , ,E,I,E, ,G,I, , , ,E,G,W,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G, , ,I, , , , ,I,I, , ,W, ,G,W,G, ,G, , ,E, ,C,I, ,G,E, ,I, ,E,E,E, ,E,E, ,E,G, ,E, ,G,E, , , , , ,C, , , ,G, , ,I, , ,C,E,C,C,I,E,E, , ,C, ,G, ,I,I, ,W, , , ,G, , , ,C, , ,G, , ,C,W, ,W, , , ,G, ,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,W, , ,E,W,C,E,G,I, , , ,W,W, ,E,W,C, , ,C, , ,W, ,E,E, , ,W,E,W, ,W, ,C, ,C,C,I,E, ,W,I,C, ,G,E,I,C, ,G, , , ,C,I,E, ,G, ,W,W,E, , ,C,E,W, ,E,I,G, , ,W, ,W,C,E, , ,I, ,W,E,G,E,E,E,G,W,E,I,E,W,C,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[C,I, ,C, ,W, , ,W,C,W,E,I, ,E,C, ,G,G, ,I, , ,I, , , ,G, ,E,I,G, ,W,G,C,I,C, ,E,W,E, ,E, , , ,C, ,W,W, , , , , ,E, ,W,G,W,E, ,C,G,E, , ,G, , ,C,E,C,G,G,E, , , ,E,C, , ,E, , ,E, , , , , ,I, ,E,W,C, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E, , ,E,E,I, , , , ,W,E, ,W,C, ,C,I,C, , , ,C,C,G,G,E,E,I, ,C, ,E,I,C,I, ,E,G,G, ,G, , , ,E,W, , ,W,G,W,G,E,G, , ,I, ,E, ,W,I,E, , ,E, , ,W, , , ,I,G,C, ,E, , ,I,W, ,I, ,W,I,W,E,I,W, ,W,G, ,E, , ,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E,I,G, ,C, ,W, ,C,I,E,W, ,I,E,W, ,C,C,E, ,I,I,C, ,W, ,E, ,E,E, ,W,I,E,G, , ,C, , ,I, ,E,E,E,E,E,W, ,E,I,W,I,W,C, , ,W,W,E, ,W,E, , , , , ,W,G,W, ,G, , ,G,E,W,E,C, ,I,I, ,W,I,W,C,W, ,E, , ,C,G,G,E, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,C, , , ,E,W,G, , , ,W, ,G, ,G,W,I,C,E, , ,G,W, , , ,W,W, , ,G, ,W, ,E, ,E, ,E,C,C,I,C, ,E,I, ,W, , , , ,E, , , ,C,G,G,W,W, ,I,I,G,W, ,E,I, , ,E,I,E,G,W,C,E,E,C,W, , ,I,C,C, ,W, ,C, ,G,G,E, , ,W,E,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , ,I, ,E, , ,I, ,E, , , ,W, ,G,W,W,E,E,I,W,E, , , ,C, ,G,G, ,C,G,G,I,E,E, , ,G,E,C,C, ,C,C,G,W,I, ,G,E,C,I,E, ,C, ,C,G,W,I, , , , , , , , ,W, , ,I,W, ,I, , , , , ,I, , ,C,W, ,E,W,W,E,E,E, , ,C, ,E,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , ,E,E,E,E, ,E,G,G,C,I,W,E,G,W, ,I,I, ,G, ,C,I,E,I,E, , ,C,E,G,I, , , ,E,I, , , ,C,C,G,G, ,I,E, , , , ,I,I, , ,E,C, ,E,W,W, , ,E,I,I,E,E,E, , , ,E, ,G,E, ,I,W, , , ,I,E,E, , , , , ,I,C,W,E, ,I,E, ,G] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[I,W,I,C,W, , ,E, ,I,W, ,I,E,E,E, , ,W, , , ,W,E,C,E,E, ,W,G, , , ,W,E,E,E, , , ,C,C, ,E,G,I,I,G, , ,G,W, , ,I, ,C,E,E,G,I, , , ,E,C, ,E, , ,C, ,E,I,I, , ,I, , ,C, ,I,I,G,G,W,C,E,E,G, , , ,E,C,E, ,C,C] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[C, , ,G, , , ,E,W,E, ,W, ,E, ,I,E, ,E,E, , ,W, ,C,W,C,W,W,W, , , , , , ,I,E,E,G, ,I, , ,W, ,W, ,E,C, , ,W,G,I,G,C,G,W,G, ,E, , , , ,C,E, , , , ,C, , ,C, , ,E, ,I, , ,I, ,C,E,I, ,C,E,C,C, , , , ,E, ,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , , ,W, ,E,C,C,I, ,G,I,G,C,I, ,G,C,G,E, ,I, , , , , , ,G,I, , , ,E,G, ,C,C, , , ,W, ,C, ,E,G,I,G,I, , ,C,E, ,E,I,G, ,E,C,W,E,I,I,E, , , , ,I,C, ,G,E,C,E,W,G,W,W,I,E,C, ,E, , , , ,I, ,E, , ,C,E, , ,W] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[I, , , ,G,E, ,E, , ,E,W,C,G,W, ,W, ,I, , , ,I,E, , ,I, , , ,E,C,E,I, , ,G,E,E, ,E, , ,I,C,E,I, , , ,I, ,E,E, , ,G,E,G, ,C,C,E,C,C,W, , ,G,W,E,G,C,E,E,I, ,E,W, ,W,G, ,C,G,C, , , ,G,I, , ,C, , ,C,I, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[I,W,E,E,W, ,E,C, ,G,I, ,E,W,W,E,I, ,E, ,W,C, ,G,E, ,E,C,C,E,E,E,C,E,C, , ,I, ,I,C, , ,W, , ,W,G, ,E, ,W, , , ,C,C, , ,E,I, , , , , , ,G, , ,C, ,C,W,G, ,E,G,G, ,G, ,I, ,E,I, ,C,G,I,G,W, , ,E,G,G,E, ,C] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E,I,I,E,W, ,G,I, , ,E,C,G,I,C,I, ,G,I, ,C,W,I,I,G, ,E,C, , ,E,C,I, , , , ,C, , , ,E,W,E,G,E, ,G, ,G,G,C,E,W,C,W,W,W, ,C,C,W, , , , ,W,E,C,C,G, , , ,I,C,C, ,C,G, , ,W,W,G,E, ,G,E, ,E, ,E,E,E,G,E,E,G, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[C,W, , ,I,E,G,G,G, ,I,I, , ,I,E,I,E,W, , ,G,W,W,W,I, ,I, ,C,E, ,E, ,W,E, ,G, , ,W, , , , ,C, , ,C, ,G, , , , ,W,C,C,G,E,E,W, ,E, , , , ,W,C, ,W, ,C, ,E, , , , ,G, ,I,W,I, ,C,E,W,C, ,I, ,I, ,C, , ,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G, ,I,C, ,I,I, , ,W,C, , , , ,E,W,C,E,E, , , ,W, ,G, ,C,G,E,E, ,C,I, ,W,G, , , ,C,W,E,G,G,I, , ,I, ,I,G, ,E, ,E,E,E, , ,W, ,W,I,G, ,W,E, ,G,I,E,G,I, , , ,I, ,G,G, ,I,E, ,E, , ,G,E, ,C,G,C,I,C,C, , , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,G,E, , , , , ,W, ,C,E, ,C, ,W,W,W, , ,E, , , , , ,I, ,I,E, ,E,G,E,W,G,I,E, ,W,W,E, ,W,E,E,G, , ,G, ,C,G,W,G,I,W, ,E, ,W, , , , ,I,E, ,E, ,W,W, , , ,W,E,W,G, ,E,G,E, ,W, ,G,E, ,I, ,E,E,I,C, ,E,E,G,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E,W,W,I,W, ,E, ,E, ,C, ,E,C,E, ,E,C, ,E,C,G,I,E,I,I,G, , ,C,C, ,W,C, ,E,E, , , , , , , , ,E,E,W, , ,I,C, , ,I,G,E,G, ,I, ,W, , ,G, , , , ,I, ,G,C,E,E,W,I,E,W, ,W, ,G, ,I, ,W, , , ,I,G,G, ,W,W,E, ,E,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G,W, ,E,C,C,I, ,C,G, , ,C, , ,E, ,C,G, , ,W,W,E, ,G,G,I,G,G,E, , , ,E,C,W,E,G,G,E, ,G,E,G, ,I,E,I,G, ,E, , ,E,I, , , ,I, ,E, , , ,C, ,W,C, ,W,W,W,C,G,W, , ,E,W,W, ,W,G, ,E, ,G,C,C,W, , ,G,E,I, ,G,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , ,E,I, ,I,E, ,E,C, ,W,G,G,E,W,W, ,G, , ,W,W,W, , ,W, , ,E,G,G,I,E,W,E,I, ,W,C, ,E,G,E, , ,G,W,C, ,E,E,W,E, ,C,I,W, , ,E,I, ,W,W, , ,E,W, , , ,E, , , ,I, ,E, ,G, ,G,C, ,C,I,I,E, ,E, , ,W, ,C,E, ,E, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[C,E, ,W,E,E, ,W, , , ,E,E,W,C,W, ,C, ,E,I,W,E, , , ,W,W,E,W, ,C,W,C,E,W, ,I, , , ,E, ,C,W,G,E, ,C,G,C, ,E,I,G,E, , , ,E,W, , ,I, ,C,C,E, , ,G, ,E,G,I, ,E, , ,E, ,C,E, ,I, ,W,I,G,G, ,C,I,E,I,G,E,G,W,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,G, , ,G, ,W,G,W,I, , ,G, , , , , ,E,E,G,W,E,W, ,C, , ,I, , ,E, , ,E, , , , ,C, , ,C,G, , ,G,G, , , , , ,E, ,I,E, ,W, , ,I, , ,C, ,E, , , ,E, ,W, ,G, ,C,E,E,G,E,I,W,I,C,C, ,C, ,C,W,W, ,G,I, , ,G,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , , , , , , ,E, ,G,G,I, ,E,E, , , , ,I,G,W,W,W, ,E, ,G,W,G,E, ,E, ,C,G, ,C, ,W, , ,W,G,E,W,E, ,G, ,W, ,I,E,G, , ,C, ,E,I, ,E, ,C, ,C,I,W,G,E, , ,I, ,C, , , , ,E,W, , ,I,G,G,E,I, ,E, ,W,E, ,W, ,E, ,W] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
